TIFfilename,CellType,Condition,Nucleus ID,Area (um^2),Perimeter (um),Major,Minor,Estimated Radius (um),Estimated Volume (um^3),Estimated Surface Area (um^2)
112316_HBSS_1.tif,GM12878,HBSS,1,5391,260.934,86.955,78.938,40.805,283703.974,20914.007
,GM12878,HBSS,2,4276,231.633,74.24,73.335,36.818,209054.335,17034.727
,GM12878,HBSS,3,3179,200.074,65.106,62.17,31.574,131759.328,12526.644
,GM12878,HBSS,4,5010,251.215,81.552,78.219,39.665,261250.877,19769.213
,GM12878,HBSS,5,4845,246.552,80.116,76.999,39.019,248707.024,19130.671
,GM12878,HBSS,6,4944,249.398,80.938,77.774,39.414,256342.115,19520.277
,GM12878,HBSS,7,3570,212.386,68.805,66.063,33.489,157229.924,14091.839
,GM12878,HBSS,8,2267,169.683,57.813,49.927,26.278,75456.224,8667.537
,GM12878,HBSS,9,2768,186.708,60.897,57.874,29.441,106797.607,10890.725
,GM12878,HBSS,10,4963,250.052,81.485,77.549,39.431,256583.483,19535.482
,GM12878,HBSS,11,3747,216.86,69.079,69.064,34.535,172523.444,14987.052
,GM12878,HBSS,12,3650,214.216,68.175,68.167,34.085,165871.637,14599.306
,GM12878,HBSS,13,2177,165.02,52.717,52.58,26.313,76311.585,8700.515
,GM12878,HBSS,14,5199,255.744,81.367,81.355,40.68,281978.129,20795.103
,GM12878,HBSS,15,2426,174.522,55.637,55.519,27.779,89793.644,9697.241
,GM12878,HBSS,16,4959,249.918,79.538,79.383,39.717,262438.957,19823.026
,GM12878,HBSS,17,1960,156.96,49.956,49.955,24.978,65274.598,7839.955
,GM12878,HBSS,18,2921,191.756,60.988,60.981,30.492,118749.584,11683.479
,GM12878,HBSS,19,4790,245.636,78.125,78.065,39.043,249288.004,19155.129
,GM12878,HBSS,20,4610,240.733,76.639,76.588,38.303,235380.19,18435.89
112316_HBSS_2.tif,GM12878,HBSS,1,3329,204.427,66.591,63.651,32.316,141261.763,13121.697
,GM12878,HBSS,2,5238,257.015,83.696,79.684,40.511,278256.667,20620.498
,GM12878,HBSS,3,3526,211.029,71.236,63.022,32.88,148143.469,13574.951
,GM12878,HBSS,4,3262,202.156,65.523,63.387,32.05,137845.563,12907.148
,GM12878,HBSS,5,3072,196.733,62.561,62.521,31.267,128042.497,12285.332
,GM12878,HBSS,6,3089,198.868,68.98,57.017,30.502,117416.88,11668.206
,GM12878,HBSS,7,2997,194.134,61.797,61.749,30.883,123374.633,11984.909
,GM12878,HBSS,8,3257,201.972,67.046,61.853,31.792,134305.263,12697.178
,GM12878,HBSS,9,3344,204.772,65.961,64.549,32.51,143901.357,13280.978
,GM12878,HBSS,10,3221,201.295,68.277,60.066,31.402,128982.407,12380.601
,GM12878,HBSS,11,3409,206.845,65.903,65.861,32.938,149678.854,13632.99
,GM12878,HBSS,12,3412,206.965,66.996,64.844,32.781,147498.326,13502.805
,GM12878,HBSS,13,3215,200.951,64.08,63.881,31.974,136919.258,12846.788
,GM12878,HBSS,14,4357,233.819,74.772,74.193,37.193,215508.043,17383.255
,GM12878,HBSS,15,2817,189.356,65.156,55.048,29.209,103379.904,10704.488
,GM12878,HBSS,16,5072,252.793,82.423,78.35,39.854,264926.28,19957.093
,GM12878,HBSS,17,2932,192.152,62.722,59.519,30.293,116340.191,11530.481
,GM12878,HBSS,18,4152,228.677,74.654,70.814,36.047,196015.294,16326.409
,GM12878,HBSS,19,3068,196.239,64.019,61.017,31.009,124798.455,12081.851
,GM12878,HBSS,20,3279,203.781,69.309,60.236,31.63,131674.144,12559.272
112316_HBSS_3.tif,GM12878,HBSS,1,3084,197.133,62.713,62.614,31.324,128735.729,12329.64
,GM12878,HBSS,2,3138,199,65.382,61.109,31.267,127840.122,12282.231
,GM12878,HBSS,3,3295,203.516,67.033,62.586,32.034,137480.68,12892.52
,GM12878,HBSS,4,3141,199.198,64.924,61.599,31.354,128988.566,12351.782
,GM12878,HBSS,5,3259,202.355,66.098,62.778,31.942,136396.081,12820.014
,GM12878,HBSS,6,3001,194.309,65.078,58.714,30.418,117467.076,11620.648
,GM12878,HBSS,7,3319,204.325,67.18,62.904,32.165,139185.87,12998.029
,GM12878,HBSS,8,3330,204.963,66.293,63.957,32.368,141984.999,13164.706
,GM12878,HBSS,9,4672,242.319,78.388,75.887,38.36,236364.895,18490.705
,GM12878,HBSS,10,3367,205.657,66.715,64.259,32.539,144241.436,13304.096
,GM12878,HBSS,11,4644,241.243,76.942,76.849,38.44,237924.154,18568.49
,GM12878,HBSS,12,3409,206.845,65.903,65.861,32.938,149678.854,13632.99
,GM12878,HBSS,13,3139,198.629,63.228,63.211,31.608,132279.757,12554.894
,GM12878,HBSS,14,5639,266.9,89.393,80.317,41.671,301937.525,21808.692
,GM12878,HBSS,15,3030,195.23,65.494,58.905,30.551,118988.354,11722.083
,GM12878,HBSS,16,3140,198.982,63.262,63.197,31.609,132292.269,12555.688
,GM12878,HBSS,17,3428,207.944,66.112,66.019,33.025,150874.833,13705.519
,GM12878,HBSS,18,3248,200.998,64.31,64.305,32.153,139240.834,12991.577
,GM12878,HBSS,19,5715,268.128,85.327,85.279,42.648,324914.653,22855.831
,GM12878,HBSS,20,3288,203.297,64.739,64.666,32.345,141747.891,13147.059
112316_HBSS_4.tif,GM12878,HBSS,1,2974,193.612,62.706,60.387,30.58,119727.697,11750.493
